행정동코드,total_all_202310,solo_all_202310,total_20_202310,solo_20_202310,total_25_202310,solo_25_202310,total_30_202310,solo_30_202310,total_35_202310,solo_35_202310,total_40_202310,solo_40_202310,total_45_202310,solo_45_202310,total_50_202310,solo_50_202310,total_55_202310,solo_55_202310,total_60_202310,solo_60_202310,total_65_202310,solo_65_202310,total_70_202310,solo_70_202310,total_75_202310,solo_75_202310,자치구,행정동명
1123060,14153,429,1185,36,794,27,548,40,784,51,2046,28,2874,39,2031,38,1225,23,873,17,667,23,487,16,639,91,강남구,대치1동
1123063,16888,5144,1603,500,1823,613,2089,1154,1758,928,1947,512,2236,549,1726,244,1193,179,790,136,693,109,403,61,627,159,강남구,대치4동
1123064,31810,16394,2224,1316,5163,3110,6021,4456,4156,2940,2936,1507,2248,1120,2130,473,2099,475,1694,410,1269,210,786,126,1084,251,강남구,역삼1동
1123065,25748,5273,1752,551,2143,780,2927,1105,3088,1066,3797,383,3557,335,2570,238,1689,172,1364,143,1168,151,695,86,998,263,강남구,역삼2동
1123066,16995,1976,1366,170,1707,261,1753,391,1613,323,1663,148,1867,160,1833,98,1688,90,1294,73,894,71,564,43,753,148,강남구,도곡1동
1123067,24830,1434,1848,60,1797,68,2005,156,2076,144,2988,141,3550,163,2919,102,2259,80,1933,74,1444,118,852,65,1159,263,강남구,도곡2동
1123068,11826,1746,1179,172,1151,194,1064,270,706,162,712,79,1278,134,1404,131,1440,142,1119,111,750,116,424,66,599,169,강남구,개포1동
1123071,17460,2552,1434,149,1645,193,1820,418,1699,347,1785,255,1970,277,1874,191,1761,190,1302,155,864,103,594,72,712,202,강남구,개포4동
1123072,18767,1190,1370,68,1484,94,1650,99,1552,81,2222,81,2553,89,2079,96,1870,88,1468,71,1117,121,726,82,676,220,강남구,일원본동
1123073,13773,3029,1114,228,1300,341,1392,384,1228,307,1060,187,1242,208,1385,186,1523,244,1207,194,914,249,651,189,757,312,강남구,일원1동
1123074,12592,1956,787,60,907,82,1509,218,1282,168,1202,107,1231,106,1111,106,1261,136,1080,121,943,304,590,195,689,353,강남구,일원2동
1123075,13717,3444,779,77,1170,131,1621,249,1237,178,804,173,755,166,1068,209,1673,357,1535,405,1156,506,784,358,1135,635,강남구,수서동
1123076,30539,5066,2195,388,2293,477,3628,881,4055,859,3405,371,2942,312,2680,260,2616,271,2104,231,1641,225,1149,164,1831,627,강남구,세곡동
1123077,20691,2048,1253,102,1529,146,1803,228,2103,244,2425,189,2277,169,1840,114,1662,105,1677,113,1517,162,957,99,1648,377,강남구,압구정동
1123078,23182,3865,1747,313,2077,409,2513,727,2531,666,2612,389,2362,344,2228,193,2124,188,1699,151,1360,165,806,91,1123,229,강남구,청담동
1123079,30248,1525,3090,192,2363,158,1807,249,1675,208,3125,97,5070,150,4316,59,3041,42,2177,30,1575,92,963,57,1046,191,강남구,대치2동
1123080,28500,2286,2661,116,2240,112,2867,309,2689,263,2822,196,3342,224,3348,152,2820,130,2129,105,1452,179,1053,127,1077,373,강남구,개포2동
1124051,15666,2664,1063,122,1386,193,1530,246,1410,190,1428,236,1466,222,1647,256,1815,298,1411,244,998,191,655,134,857,332,송파구,풍납1동
1124052,22104,3087,1947,256,2477,342,2640,472,2331,369,2259,299,2005,262,1891,167,2063,207,1602,164,1170,151,813,105,906,293,송파구,풍납2동
1124053,11699,1636,1011,83,952,96,984,179,1065,178,1303,150,1307,146,1294,146,1198,141,910,117,685,133,404,80,586,187,송파구,거여1동
1124054,19803,2979,1365,119,1494,161,2000,255,1999,232,2124,255,2189,255,1965,264,1920,281,1590,239,1245,277,826,198,1086,443,송파구,거여2동
1124055,17728,2769,1371,111,1261,114,1524,222,1543,209,1837,176,1819,166,1855,291,1849,310,1481,274,1143,241,832,176,1213,479,송파구,마천1동
1124056,17245,2586,1362,60,1366,72,1471,203,1417,186,1606,231,1756,239,1915,268,1854,277,1445,233,1074,232,768,160,1211,425,송파구,마천2동
1124057,13228,1442,1216,129,1040,126,1066,231,1093,210,1367,100,1477,105,1473,91,1205,78,1027,71,935,73,617,46,712,182,송파구,방이1동
1124058,21591,6472,1811,724,2454,1037,3082,1310,2360,928,1890,583,1858,560,2005,286,2054,295,1579,236,1029,171,709,113,760,229,송파구,방이2동
1124059,14335,644,1669,94,985,45,788,59,846,54,1575,37,2167,50,1840,49,1407,39,1252,36,772,27,554,19,480,135,송파구,오륜동
1124060,29302,2815,2629,117,2675,141,2606,256,2301,200,2646,285,3108,326,3303,250,3257,256,2423,207,1747,201,1124,124,1483,452,송파구,오금동
1124061,21971,5560,1657,511,2601,901,3169,1113,2411,784,1877,464,1914,450,2019,269,2031,300,1665,253,1073,172,734,115,820,228,송파구,송파1동
1124062,16789,1236,1502,114,1509,131,1470,125,1480,112,1613,85,1853,95,1979,116,1829,105,1478,85,847,44,561,28,668,196,송파구,송파2동
1124063,29005,7583,2055,602,3194,1065,4002,1456,3239,1088,2929,681,2552,577,2704,406,2635,409,2041,335,1497,317,915,190,1242,457,송파구,석촌동
1124064,27680,7825,2048,599,3126,1085,4130,1758,3379,1341,2903,779,2491,645,2394,342,2359,367,1780,280,1333,206,781,115,956,308,송파구,삼전동
1124065,22781,3349,1971,269,2259,363,2609,536,2026,377,2196,340,2448,372,2576,226,2425,212,1586,144,1127,185,721,116,837,209,송파구,가락본동
1124066,16677,1339,510,28,795,51,1277,145,1822,182,2318,169,1839,129,1828,55,1594,47,1632,50,1395,199,906,125,761,159,송파구,가락1동
1124067,26263,2430,2349,213,2371,255,2440,297,2481,264,3126,207,3119,204,2952,194,2675,174,1839,130,1181,144,772,91,958,257,송파구,가락2동
1124068,17430,2201,1561,219,1796,302,1967,344,1504,237,1557,211,1675,216,1835,139,1969,150,1471,111,901,75,605,50,589,147,송파구,문정1동
1124069,16888,5337,1028,434,1572,732,2012,1195,1865,1043,1890,725,1406,520,1490,136,1551,138,1389,125,1047,60,719,38,919,191,송파구,문정2동
1124071,25212,7404,1980,711,3006,1199,3535,1625,2827,1175,2396,628,2290,571,2356,318,2269,323,1753,253,1171,189,702,114,927,298,송파구,잠실본동
1124075,22512,1249,1447,73,1810,97,2626,135,2963,134,2674,93,2019,68,2047,72,2241,80,1837,69,1194,101,812,70,842,257,송파구,잠실4동
1124077,13338,820,1045,49,1145,66,1319,95,1117,66,1264,60,1387,62,1405,56,1478,59,1180,50,802,51,550,36,646,170,송파구,잠실6동
1124078,7761,534,581,42,463,37,573,78,564,65,717,43,895,51,805,27,778,26,759,25,602,25,427,17,597,98,송파구,잠실7동
1124079,23258,1243,1367,52,1348,60,2008,167,3222,248,4461,114,3441,86,2180,71,1684,57,1326,44,938,94,555,57,728,193,송파구,잠실2동
1124080,28926,1421,2009,44,2315,58,2699,113,2916,111,3205,111,3165,108,2693,86,3021,96,2614,88,1929,178,1050,95,1310,333,송파구,잠실3동
1124081,27192,3386,2339,172,2136,181,2817,370,3095,366,2962,314,2833,287,2923,328,2683,299,1938,230,1282,229,994,194,1190,416,송파구,장지동
1124082,16480,1167,762,36,790,43,1248,55,2033,80,3052,161,2340,120,1864,142,1339,105,1108,92,882,134,536,88,526,111,송파구,위례동
1125051,24934,2148,2049,102,1410,84,1815,173,2952,253,3016,120,2838,109,2359,176,2257,181,1764,151,1798,290,1244,208,1432,301,강동구,강일동
1125052,21146,2612,1919,277,1773,285,1669,276,1539,222,2387,232,2264,214,2536,184,2470,191,1731,138,1285,227,774,134,799,232,강동구,상일동
1125053,19711,1719,1607,77,1540,82,1733,166,1721,144,2124,122,2151,119,2074,136,2067,140,1622,113,1272,158,841,104,959,358,강동구,명일1동
1125054,13791,892,1301,114,1156,121,946,97,831,74,1394,46,1761,56,1780,72,1690,68,1254,52,700,26,511,22,467,144,강동구,명일2동
1125055,13204,954,978,48,991,57,1103,67,1292,67,1686,56,1677,53,1389,91,1263,90,909,67,769,104,540,74,607,180,강동구,고덕1동
1125056,9883,1463,593,74,590,82,619,79,961,108,1448,142,1107,108,969,130,915,127,828,120,793,142,490,91,570,260,강동구,고덕2동
1125058,12322,1548,819,82,1013,125,1426,216,1583,215,1490,164,1156,123,1157,96,1131,95,880,77,654,96,445,64,568,195,강동구,암사2동
1125059,13943,841,998,52,1015,61,1247,79,1622,91,1698,67,1595,65,1404,70,1492,78,1192,66,725,68,478,42,477,102,강동구,암사3동
1125061,24159,4082,1913,231,2097,291,2399,459,2140,367,2237,378,2180,350,2577,355,2671,386,2041,305,1538,291,1017,198,1349,471,강동구,천호1동
1125063,21939,5124,1523,377,2032,570,2479,661,2063,493,1901,411,1761,370,2188,364,2398,429,2013,372,1459,355,859,203,1263,519,강동구,천호3동
1125065,15082,1901,1081,148,1328,194,1680,264,1744,247,1670,179,1406,149,1402,125,1493,135,1205,111,891,143,485,74,697,132,강동구,성내1동
1125066,22229,6058,1516,449,2253,742,2595,857,2185,648,1909,477,1881,442,2325,513,2311,531,1911,470,1357,297,846,187,1140,445,강동구,성내2동
1125067,20220,3570,1654,346,1971,448,2300,467,2141,402,1930,292,1931,280,2072,268,1997,277,1565,230,1112,178,735,126,812,256,강동구,성내3동
1125070,11682,4220,846,432,799,435,423,83,423,65,1027,118,1693,180,2032,1084,1737,908,1256,673,690,90,390,48,366,104,강동구,둔촌1동
1125071,22665,2859,1895,246,2027,313,2179,240,2108,205,2094,182,2317,194,2408,244,2507,260,1918,214,1277,209,821,136,1114,416,강동구,둔촌2동
1125072,30034,4966,2325,267,2499,324,3150,587,3114,530,2911,395,3015,394,3127,456,3031,473,2407,391,1811,359,1124,217,1520,573,강동구,암사1동
1125073,30705,7205,2057,440,2757,659,3386,1011,2993,836,2826,669,2847,649,3194,535,3289,606,2548,496,1917,438,1206,288,1685,578,강동구,천호2동
1125074,40133,7426,3188,677,3926,960,4536,1018,4087,810,3651,617,3696,589,3932,485,4294,556,3279,457,2283,362,1493,231,1768,664,강동구,길동
