ADM_CD,ADM_NM,dong_1_name,dong_1_code,dong_1_distance,dong_2_name,dong_2_code,dong_2_distance,dong_3_name,dong_3_code,dong_3_distance,dong_4_name,dong_4_code,dong_4_distance,dong_5_name,dong_5_code,dong_5_distance,dong_6_name,dong_6_code,dong_6_distance,dong_7_name,dong_7_code,dong_7_distance,dong_8_name,dong_8_code,dong_8_distance,dong_9_name,dong_9_code,dong_9_distance,dong_10_name,dong_10_code,dong_10_distance
11010700,숭인1동,창신3동,11010690,378.9040859468352,숭인2동,11010710,426.77292571735234,창신1동,11010670,599.6091423969802,창신2동,11010680,605.5749355530253,종로56가동,11010630,1202.944991560926,이화동,11010640,1256.5255027212195,혜화동,11010730,2062.8941819935244,종로1234가동,11010610,2397.1293816765406,가회동,11010600,2743.817303660548,삼청동,11010540,3386.5392577960642
11010710,숭인2동,숭인1동,11010700,426.77292571735234,창신1동,11010670,623.5282616058857,창신3동,11010690,800.3668387077598,창신2동,11010680,912.7082647351428,종로56가동,11010630,1419.50087736773,이화동,11010640,1635.756843888642,혜화동,11010730,2483.3642990542976,종로1234가동,11010610,2692.7935588414707,가회동,11010600,3114.078266485191,삼청동,11010540,3783.2989475531976
11010720,청운효자동,삼청동,11010540,1089.2342974161772,사직동,11010530,1168.5275300670717,무악동,11010570,1287.451431789611,가회동,11010600,1483.4320790777115,부암동,11010550,1501.3569499710072,교남동,11010580,1567.0669934416894,종로1234가동,11010610,2037.0399583188764,혜화동,11010730,2452.675203177807,이화동,11010640,2969.1341309882305,종로56가동,11010630,3303.7276575553506
11010730,혜화동,이화동,11010640,991.57263907726,가회동,11010600,1107.0295421445676,삼청동,11010540,1435.8061458590596,종로1234가동,11010610,1518.0076386836863,창신3동,11010690,1684.3837829522254,창신2동,11010680,1697.3610799474325,종로56가동,11010630,1734.1025828569025,숭인1동,11010700,2062.8941819935244,창신1동,11010670,2213.0057232064696,청운효자동,11010720,2452.675203177807
11010580,교남동,사직동,11010530,635.2332360522403,무악동,11010570,829.7977260865443,청운효자동,11010720,1567.0669934416894,종로1234가동,11010610,2318.706208418247,가회동,11010600,2352.8705731960226,삼청동,11010540,2442.1236751309375,부암동,11010550,2873.4942513161486,혜화동,11010730,3458.9475187459834,종로56가동,11010630,3562.6464765793366,이화동,11010640,3567.0733690297725
11010600,가회동,삼청동,11010540,803.025762964251,종로1234가동,11010610,864.1366445455257,혜화동,11010730,1107.0295421445676,청운효자동,11010720,1483.4320790777115,이화동,11010640,1487.377578629,사직동,11010530,1718.9387865387903,종로56가동,11010630,1905.9410015968867,창신2동,11010680,2208.084475285703,교남동,11010580,2352.8705731960226,창신3동,11010690,2388.202990794062
11010610,종로1234가동,가회동,11010600,864.1366445455257,이화동,11010640,1266.4578146569497,종로56가동,11010630,1309.542594012894,혜화동,11010730,1518.0076386836863,삼청동,11010540,1650.6167300948673,사직동,11010530,1726.5438078959683,창신2동,11010680,1797.4561976603031,청운효자동,11010720,2037.0399583188764,창신3동,11010690,2104.803100843629,창신1동,11010670,2137.2643752948775
11030740,한남동,이태원1동,11030650,1151.1595756332597,보광동,11030700,1239.5259618109276,이태원2동,11030660,1250.7533705229014,용산2가동,11030520,1775.8696942729005,서빙고동,11030690,2450.438553628945,후암동,11030510,2567.9465460587057,남영동,11030530,2776.4476919551057,한강로동,11030730,3364.01468678083,원효로1동,11030720,3411.888281758251,청파동,11030710,3565.4845462829685
11030510,후암동,남영동,11030530,828.4499406287276,청파동,11030710,1243.5736189672696,이태원2동,11030660,1355.7578291628647,용산2가동,11030520,1388.181087287325,원효로1동,11030720,1854.1978620594555,효창동,11030580,1907.7529465003583,이태원1동,11030650,2148.0599991011204,용문동,11030590,2358.6641845122995,한강로동,11030730,2538.338922736883,한남동,11030740,2567.9465460587057
11030520,용산2가동,이태원2동,11030660,749.7323451213026,이태원1동,11030650,880.1818951410731,남영동,11030530,1131.998602823272,후암동,11030510,1388.181087287325,원효로1동,11030720,1637.1635475193455,한강로동,11030730,1752.746837376679,한남동,11030740,1775.8696942729005,보광동,11030700,1857.3547083918827,청파동,11030710,1935.8382407081517,서빙고동,11030690,2055.7440118452155
