ADM_CD,dong_name,통계청코드,도로명코드10,통계청코드8,도로명코드8,도로명코드,시도명,시군구,읍면동
11190760.0,서울특별시 영등포구 문래동,1119076,1156060500,11190760.0,11560605,11560605,서울특별시,영등포구,문래동
11200520.0,서울특별시 동작구 노량진2동,1120052,1159052000,11200520.0,11590520,11590520,서울특별시,동작구,노량진제2동
11200530.0,서울특별시 동작구 상도1동,1120053,1159053000,11200530.0,11590530,11590530,서울특별시,동작구,상도제1동
11200540.0,서울특별시 동작구 상도2동,1120054,1159054000,11200540.0,11590540,11590540,서울특별시,동작구,상도제2동
11200550.0,서울특별시 동작구 상도3동,1120055,1159055000,11200550.0,11590550,11590550,서울특별시,동작구,상도제3동
11200560.0,서울특별시 동작구 상도4동,1120056,1159056000,11200560.0,11590560,11590560,서울특별시,동작구,상도제4동
11200680.0,서울특별시 동작구 대방동,1120068,1159066000,11200680.0,11590660,11590660,서울특별시,동작구,대방동
11200700.0,서울특별시 동작구 신대방2동,1120070,1159068000,11200700.0,11590680,11590680,서울특별시,동작구,신대방제2동
11200710.0,서울특별시 동작구 흑석동,1120071,1159060500,11200710.0,11590605,11590605,서울특별시,동작구,흑석동
11200720.0,서울특별시 동작구 노량진1동,1120072,1159051000,11200720.0,11590510,11590510,서울특별시,동작구,노량진제1동
11200730.0,서울특별시 동작구 사당2동,1120073,1159063000,11200730.0,11590630,11590630,서울특별시,동작구,사당제2동
11210520.0,서울특별시 관악구 보라매동,1121052,1162052500,11210520.0,11620525,11620525,서울특별시,관악구,보라매동
11160540.0,서울특별시 강서구 등촌3동,1116054,1150053500,11160540.0,11500535,11500535,서울특별시,강서구,등촌제3동
11210820.0,서울특별시 관악구 삼성동,1121082,1162074500,11210820.0,11620745,11620745,서울특별시,관악구,삼성동
11210830.0,서울특별시 관악구 미성동,1121083,1162076500,11210830.0,11620765,11620765,서울특별시,관악구,미성동
11220660.0,서울특별시 서초구 양재1동,1122066,1165065100,11220660.0,11650651,11650651,서울특별시,서초구,양재1동
11220670.0,서울특별시 서초구 양재2동,1122067,1165065200,11220670.0,11650652,11650652,서울특별시,서초구,양재2동
11220680.0,서울특별시 서초구 내곡동,1122068,1165066000,11220680.0,11650660,11650660,서울특별시,서초구,내곡동
11230760.0,서울특별시 강남구 세곡동,1123076,1168070000,11230760.0,11680700,11680700,서울특별시,강남구,세곡동
11180510.0,서울특별시 금천구 가산동,1118051,1154551000,11180510.0,11545510,11545510,서울특별시,금천구,가산동
11240810.0,서울특별시 송파구 장지동,1124081,1171064600,11240810.0,11710646,11710646,서울특별시,송파구,장지동
