ADM_CD,행정동코드,total_all,solo_all,total_20,solo_20,total_30,solo_30,total_40,solo_40,total_50,solo_50,total_60,solo_60,total_70,solo_70,자치구,행정동명
11100570,1110057.0,24062.0,1723.0,3939.0,83.0,3544.0,184.0,5044.0,183.0,5556.0,310.0,3396.0,301.0,2583.0,662.0,도봉구,방학3동
11100590,1110059.0,21401.0,3283.0,3203.0,388.0,3865.0,477.0,4563.0,579.0,4143.0,495.0,3053.0,473.0,2574.0,871.0,도봉구,창1동
11100600,1110060.0,25078.0,3264.0,4282.0,371.0,4797.0,573.0,4968.0,548.0,5046.0,539.0,3403.0,505.0,2582.0,728.0,도봉구,창2동
11100610,1110061.0,12790.0,2275.0,1984.0,234.0,2182.0,357.0,2579.0,414.0,2631.0,429.0,1886.0,375.0,1528.0,466.0,도봉구,창3동
11100620,1110062.0,23999.0,2438.0,3799.0,171.0,4182.0,498.0,5420.0,429.0,5114.0,371.0,3030.0,328.0,2454.0,641.0,도봉구,창4동
11100630,1110063.0,21815.0,2377.0,3679.0,283.0,3980.0,454.0,4101.0,335.0,4691.0,347.0,3184.0,355.0,2180.0,603.0,도봉구,창5동
11130700,1113070.0,24294.0,4743.0,5198.0,1761.0,3764.0,528.0,4653.0,456.0,4349.0,506.0,3329.0,565.0,3001.0,927.0,서대문구,남가좌2동
11130710,1113071.0,13060.0,1244.0,1916.0,149.0,2685.0,249.0,2940.0,132.0,2479.0,188.0,1713.0,208.0,1327.0,318.0,서대문구,북가좌1동
11100640,1110064.0,19580.0,3571.0,2880.0,264.0,2856.0,429.0,3239.0,389.0,4042.0,711.0,3591.0,781.0,2972.0,997.0,도봉구,도봉1동
11100650,1110065.0,24236.0,2985.0,3366.0,211.0,4254.0,443.0,4069.0,383.0,5095.0,503.0,4281.0,580.0,3171.0,865.0,도봉구,도봉2동
11110510,1111051.0,19995.0,3595.0,4349.0,1446.0,3373.0,353.0,3222.0,253.0,3498.0,379.0,2977.0,449.0,2576.0,715.0,노원구,월계1동
11110530,1111053.0,28026.0,3735.0,3986.0,227.0,6119.0,603.0,5373.0,481.0,5298.0,576.0,4117.0,680.0,3133.0,1168.0,노원구,월계3동
11110580,1111058.0,23948.0,3621.0,4409.0,417.0,2996.0,427.0,5386.0,375.0,5384.0,554.0,3189.0,634.0,2584.0,1214.0,노원구,하계1동
11110600,1111060.0,20080.0,1413.0,3360.0,130.0,2033.0,191.0,6242.0,194.0,4817.0,225.0,1981.0,189.0,1647.0,484.0,노원구,중계본동
11110640,1111064.0,18816.0,2539.0,2962.0,198.0,2659.0,287.0,4595.0,270.0,3892.0,423.0,2594.0,503.0,2114.0,858.0,노원구,중계4동
11110650,1111065.0,35373.0,3829.0,5785.0,363.0,6029.0,494.0,7026.0,605.0,7560.0,656.0,5096.0,621.0,3877.0,1090.0,노원구,상계1동
11110660,1111066.0,18261.0,2597.0,3488.0,524.0,2701.0,425.0,3661.0,303.0,3949.0,411.0,2569.0,363.0,1893.0,571.0,노원구,상계2동
11110690,1111069.0,20595.0,3426.0,3513.0,411.0,3189.0,441.0,4162.0,456.0,4180.0,542.0,2901.0,590.0,2650.0,986.0,노원구,상계5동
11110780,1111078.0,31619.0,4627.0,4472.0,169.0,5664.0,601.0,6940.0,602.0,5898.0,565.0,4382.0,782.0,4263.0,1908.0,노원구,중계23동
11110740,1111074.0,15342.0,1808.0,2657.0,193.0,3235.0,353.0,3277.0,306.0,3128.0,258.0,1716.0,211.0,1329.0,487.0,노원구,상계10동
11110770,1111077.0,27535.0,4020.0,4543.0,450.0,5681.0,853.0,6300.0,740.0,5259.0,582.0,3221.0,518.0,2531.0,877.0,노원구,상계67동
11120510,1112051.0,26391.0,4543.0,3928.0,603.0,5189.0,895.0,4929.0,663.0,4973.0,617.0,3948.0,682.0,3424.0,1083.0,은평구,녹번동
11120550,1112055.0,19657.0,3638.0,3429.0,682.0,3414.0,729.0,3766.0,539.0,3947.0,550.0,2923.0,514.0,2178.0,624.0,은평구,갈현1동
11120560,1112056.0,24465.0,3239.0,4030.0,478.0,4731.0,686.0,5185.0,485.0,4696.0,506.0,3218.0,445.0,2605.0,639.0,은평구,갈현2동
11120570,1112057.0,26939.0,3082.0,4168.0,304.0,4630.0,533.0,5560.0,563.0,5483.0,498.0,4056.0,487.0,3042.0,697.0,은평구,구산동
11120580,1112058.0,26560.0,6936.0,4621.0,1527.0,5476.0,1674.0,4907.0,1019.0,4837.0,888.0,3690.0,794.0,3029.0,1034.0,은평구,대조동
11120590,1112059.0,25696.0,4993.0,4024.0,1080.0,5317.0,1273.0,5200.0,671.0,4760.0,642.0,3480.0,549.0,2915.0,778.0,은평구,응암1동
11120600,1112060.0,18278.0,2146.0,2468.0,182.0,3871.0,382.0,4082.0,324.0,3366.0,287.0,2480.0,355.0,2011.0,616.0,은평구,응암2동
11120650,1112065.0,22825.0,3175.0,3737.0,566.0,4542.0,674.0,4416.0,458.0,4462.0,438.0,3198.0,403.0,2470.0,636.0,은평구,신사1동
11230630,1123063.0,17337.0,5098.0,3431.0,1080.0,3810.0,2036.0,4154.0,1016.0,3222.0,458.0,1529.0,250.0,1191.0,258.0,강남구,대치4동
11120660,1112066.0,17474.0,2515.0,2719.0,267.0,3137.0,553.0,3528.0,372.0,3517.0,384.0,2681.0,390.0,1892.0,549.0,은평구,신사2동
11120670,1112067.0,15938.0,2115.0,2375.0,225.0,2949.0,489.0,3072.0,314.0,3200.0,322.0,2411.0,345.0,1931.0,420.0,은평구,증산동
11120740,1112074.0,39081.0,5957.0,6220.0,886.0,8201.0,1452.0,7775.0,864.0,7292.0,773.0,5416.0,792.0,4177.0,1190.0,은평구,역촌동
11130620,1113062.0,20319.0,2984.0,3240.0,503.0,3503.0,465.0,3896.0,469.0,3867.0,403.0,3068.0,419.0,2745.0,725.0,서대문구,홍제1동
11130640,1113064.0,16148.0,2596.0,2438.0,398.0,2518.0,335.0,3136.0,369.0,3173.0,365.0,2462.0,399.0,2421.0,730.0,서대문구,홍제3동
11130650,1113065.0,12377.0,1691.0,1974.0,214.0,2064.0,236.0,2432.0,201.0,2616.0,291.0,1762.0,274.0,1529.0,475.0,서대문구,홍제2동
11130660,1113066.0,19949.0,2866.0,3222.0,443.0,3003.0,341.0,3864.0,374.0,4155.0,436.0,2908.0,405.0,2797.0,867.0,서대문구,홍은1동
11130760,1113076.0,35132.0,9722.0,8516.0,4646.0,6363.0,2000.0,6240.0,877.0,5732.0,616.0,4099.0,572.0,4182.0,1011.0,서대문구,연희동
11140590,1114059.0,16084.0,2670.0,2234.0,419.0,3865.0,707.0,3778.0,461.0,2794.0,326.0,1742.0,252.0,1671.0,505.0,마포구,용강동
11140600,1114060.0,14774.0,5487.0,4929.0,2514.0,2548.0,1277.0,2191.0,481.0,2236.0,401.0,1556.0,380.0,1314.0,434.0,마포구,대흥동
11140630,1114063.0,15678.0,2762.0,3155.0,1025.0,3175.0,517.0,3051.0,320.0,2817.0,237.0,1824.0,228.0,1656.0,435.0,마포구,신수동
11140660,1114066.0,24584.0,9907.0,6502.0,3995.0,6280.0,3303.0,3971.0,1279.0,3224.0,480.0,2410.0,356.0,2197.0,494.0,마포구,서교동
11150570,1115057.0,20400.0,3788.0,3074.0,291.0,3594.0,570.0,3746.0,648.0,4348.0,823.0,3347.0,708.0,2291.0,748.0,양천구,신월1동
11140680,1114068.0,15903.0,4244.0,3438.0,1290.0,4054.0,1503.0,2518.0,512.0,2515.0,277.0,1896.0,248.0,1482.0,414.0,마포구,합정동
11140690,1114069.0,18384.0,4142.0,3242.0,1055.0,4226.0,1345.0,3543.0,556.0,3132.0,374.0,2293.0,309.0,1948.0,503.0,마포구,망원1동
11140730,1114073.0,31139.0,6639.0,4671.0,1767.0,6407.0,1628.0,7197.0,773.0,5313.0,498.0,3908.0,653.0,3643.0,1320.0,마포구,성산2동
11140750,1114075.0,18291.0,3237.0,2896.0,686.0,3775.0,749.0,3488.0,365.0,3493.0,361.0,2383.0,362.0,2256.0,714.0,마포구,도화동
11140760,1114076.0,26177.0,5286.0,5867.0,2065.0,5069.0,1305.0,4838.0,591.0,4756.0,361.0,3153.0,337.0,2494.0,627.0,마포구,서강동
11140780,1114078.0,22833.0,2968.0,3847.0,483.0,5477.0,737.0,4339.0,456.0,4467.0,389.0,2575.0,310.0,2128.0,593.0,마포구,아현동
11150510,1115051.0,24929.0,1399.0,3447.0,124.0,3799.0,235.0,7100.0,225.0,5344.0,182.0,3203.0,205.0,2036.0,428.0,양천구,목1동
11150520,1115052.0,25825.0,4038.0,4713.0,813.0,5314.0,1161.0,4830.0,588.0,5114.0,428.0,3591.0,452.0,2263.0,596.0,양천구,목2동
11150530,1115053.0,18644.0,2939.0,3316.0,461.0,3615.0,652.0,3256.0,499.0,3682.0,393.0,2831.0,429.0,1944.0,505.0,양천구,목3동
11150580,1115058.0,19060.0,2001.0,2902.0,176.0,3759.0,325.0,3402.0,292.0,3886.0,310.0,2995.0,353.0,2116.0,545.0,양천구,신월2동
11150590,1115059.0,14911.0,3415.0,2517.0,256.0,2511.0,481.0,2903.0,608.0,3267.0,838.0,2198.0,624.0,1515.0,608.0,양천구,신월3동
11150610,1115061.0,13401.0,1847.0,2174.0,213.0,2394.0,330.0,2650.0,252.0,2664.0,329.0,2015.0,314.0,1504.0,409.0,양천구,신월5동
11150620,1115062.0,9583.0,1354.0,1507.0,225.0,1568.0,266.0,1841.0,169.0,2181.0,223.0,1575.0,220.0,911.0,251.0,양천구,신월6동
11210610,1121061.0,13482.0,5150.0,3591.0,2305.0,2850.0,1403.0,1891.0,432.0,2134.0,328.0,1750.0,333.0,1266.0,349.0,관악구,중앙동
11150630,1115063.0,19156.0,2756.0,2788.0,157.0,3618.0,335.0,3457.0,411.0,3839.0,490.0,3119.0,545.0,2335.0,818.0,양천구,신월7동
11150650,1115065.0,16209.0,1371.0,2818.0,118.0,1986.0,217.0,4263.0,153.0,3841.0,239.0,1949.0,231.0,1352.0,413.0,양천구,신정2동
11150690,1115069.0,19697.0,899.0,2952.0,76.0,2748.0,132.0,5369.0,134.0,4200.0,112.0,2708.0,124.0,1720.0,321.0,양천구,신정6동
11150700,1115070.0,24926.0,2770.0,3948.0,114.0,3390.0,265.0,5788.0,313.0,5534.0,467.0,3542.0,546.0,2724.0,1065.0,양천구,신정7동
11150710,1115071.0,30922.0,1009.0,4700.0,137.0,3975.0,227.0,9628.0,107.0,6862.0,69.0,3511.0,120.0,2246.0,349.0,양천구,목5동
11160510,1116051.0,32067.0,3082.0,4869.0,787.0,6805.0,947.0,7765.0,339.0,6037.0,287.0,4062.0,292.0,2529.0,430.0,강서구,염창동
11160530,1116053.0,17568.0,2017.0,3195.0,394.0,3302.0,532.0,3252.0,296.0,3731.0,254.0,2565.0,211.0,1523.0,330.0,강서구,등촌2동
11160550,1116055.0,29155.0,6137.0,4965.0,1300.0,7347.0,1773.0,5683.0,1042.0,4966.0,727.0,3784.0,652.0,2410.0,643.0,강서구,화곡본동
11160570,1116057.0,16759.0,2609.0,2469.0,297.0,3769.0,557.0,3336.0,432.0,2912.0,426.0,2455.0,435.0,1818.0,462.0,강서구,화곡2동
11160580,1116058.0,19487.0,2312.0,3428.0,413.0,3469.0,458.0,3246.0,339.0,4168.0,359.0,3082.0,316.0,2094.0,427.0,강서구,화곡3동
11160590,1116059.0,19051.0,3111.0,3074.0,342.0,4076.0,683.0,3512.0,508.0,3873.0,606.0,2839.0,513.0,1677.0,459.0,강서구,화곡4동
11160610,1116061.0,21343.0,3870.0,3719.0,840.0,4558.0,1238.0,3705.0,527.0,4271.0,442.0,3087.0,358.0,2003.0,465.0,강서구,화곡6동
