ADM_CD,사업체수_2022,종사자수_2022,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업,면적,금융기관_2022,금융기관_2023,유통업체수_2022,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,유통업체수_대형마트외,주택수_2020,단독주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,대학교,기타대학
11030720.0,2425,10190,0,0,223,1,78,398,3929,339,693,349,873,414,779,292,636,331,442,94,319,0.59,2,2,0,0,0,0,0,0,0,0,5251,563,219,228,116,3405,43,1161,79,0.0,0.0
11030570.0,1540,5985,2,0,127,0,64,256,2462,492,225,215,29,212,219,864,21,361,213,23,200,0.71,2,3,1,0,0,1,0,0,0,1,4631,534,173,278,83,3216,118,735,28,0.0,0.0
11030580.0,699,2350,0,0,68,0,3,490,378,91,117,122,9,113,73,92,19,241,373,57,104,0.44,-,-,0,0,0,0,0,0,0,0,3463,271,76,146,49,1584,247,1333,28,0.0,0.0
11030590.0,886,1962,0,0,114,0,0,74,687,84,271,51,19,88,54,31,20,61,241,24,143,0.28,0,0,0,0,0,0,0,0,0,0,4231,443,126,182,135,2282,78,1404,24,0.0,0.0
11030730.0,6171,53485,1,0,612,14,3,1198,14701,935,4497,8071,2210,1194,10567,3933,2394,535,696,817,1107,2.9,19,17,12,2,1,7,1,0,1,10,6769,905,592,200,113,5192,162,431,79,0.0,0.0
11030630.0,1419,3885,0,0,15,3,0,41,602,17,502,91,322,388,233,28,25,665,481,101,371,2.86,7,7,0,0,0,0,0,0,0,0,9540,0,0,0,0,9507,21,11,0,0.0,0.0
11030640.0,567,1212,0,0,30,0,22,28,363,91,77,63,14,84,47,18,48,37,167,40,83,1.22,-,-,0,0,0,0,0,0,0,0,3415,60,11,13,36,2783,172,391,9,0.0,0.0
11030650.0,1843,6863,0,0,113,0,0,50,1139,105,1873,146,126,203,303,112,1794,297,354,51,197,0.57,7,5,1,0,0,0,1,0,0,1,2198,815,304,409,102,712,246,373,52,0.0,0.0
11030660.0,1097,3159,0,0,79,0,0,138,610,83,585,189,51,143,356,528,20,149,61,45,122,0.86,4,3,0,0,0,0,0,0,0,0,3058,1127,275,741,111,705,232,949,45,0.0,0.0
11030740.0,3213,20440,0,0,407,0,6,605,4168,487,3666,1086,576,768,2788,467,575,877,2629,535,800,3.01,11,11,0,0,0,0,0,0,0,0,8174,1630,653,759,218,3626,1068,1758,92,0.0,0.0
11030690.0,743,5396,0,0,69,3,2,880,989,207,190,635,39,289,265,118,50,277,115,897,371,2.8,1,1,1,0,0,0,1,0,0,1,4268,618,259,301,58,2608,254,780,8,0.0,0.0
11030700.0,1059,2143,0,0,65,1,0,92,473,96,380,47,15,156,95,52,55,282,169,22,143,0.71,1,1,0,0,0,0,0,0,0,0,3588,2024,564,1288,172,550,81,892,41,0.0,1.0
11040520.0,1212,2807,1,0,543,0,0,168,531,196,269,42,45,170,66,51,24,213,314,37,137,0.41,-,-,0,0,0,0,0,0,0,0,5060,608,79,437,92,4243,9,167,33,0.0,0.0
11040710.0,3308,11097,0,0,960,2,25,405,2122,318,1379,534,758,493,392,704,94,681,1478,159,593,0.72,3,3,1,0,0,0,0,0,1,1,8480,544,128,247,169,7302,75,468,91,0.0,0.0
11040540.0,4037,12989,4,0,1126,158,44,1297,5358,652,561,79,151,218,440,1164,55,443,833,101,305,1.05,5,4,0,0,0,0,0,0,0,0,6564,1206,456,492,258,4173,212,816,157,0.0,0.0
11040550.0,1273,11318,0,0,158,0,4,52,556,85,1429,159,24,178,1180,34,237,4528,2328,153,213,1.1,2,2,0,0,0,0,0,0,0,0,3183,793,132,545,116,1288,55,982,65,1.0,1.0
11040560.0,1565,8820,0,0,218,0,137,217,1087,194,1083,321,118,316,188,58,2188,523,1222,430,520,0.59,4,5,3,1,0,0,0,1,1,2,4990,573,155,341,77,3680,0,680,57,0.0,0.0
11040570.0,956,2264,0,0,54,0,0,60,445,126,154,40,39,193,74,23,53,539,269,54,141,0.42,2,1,2,0,0,0,0,0,2,2,8481,133,10,104,19,8134,16,194,0,0.0,0.0
11040580.0,648,1188,0,0,25,0,2,61,247,111,66,43,10,96,55,15,52,235,94,16,60,0.57,-,-,0,0,0,0,0,0,0,0,5322,150,37,96,17,3868,42,1254,8,0.0,0.0
11040590.0,942,2363,0,0,194,1,0,60,413,134,198,38,36,131,58,45,50,456,363,79,107,0.46,-,-,0,0,0,0,0,0,0,0,6021,77,20,27,30,5058,0,861,25,0.0,0.0
11040720.0,1500,2953,0,0,211,0,0,57,607,152,436,64,28,162,93,51,49,210,506,88,239,0.64,1,1,0,0,0,0,0,0,0,0,7453,893,251,543,99,5019,129,1338,74,0.0,0.0
11040620.0,1016,2259,0,0,76,2,2,136,472,87,288,40,56,135,117,32,24,307,267,64,154,0.84,3,3,0,0,0,0,0,0,0,0,5223,397,111,229,57,4439,101,254,32,0.0,0.0
11040730.0,1380,4807,0,0,175,4,0,105,674,141,396,106,45,320,170,1109,55,744,384,115,264,1.94,2,2,0,0,0,0,0,0,0,0,9899,124,19,70,35,9483,125,136,31,0.0,0.0
11040650.0,2955,15919,6,0,1868,3,127,674,3861,206,848,2483,323,465,2261,920,22,632,203,591,426,1.97,3,3,0,0,0,0,0,0,0,0,4897,629,117,417,95,3313,307,557,91,0.0,0.0
11040660.0,4989,27337,0,2,3146,11,31,1260,5358,1407,2047,5240,362,820,4589,1424,33,463,433,162,549,0.89,4,4,0,0,0,0,0,0,0,0,3689,659,81,429,149,2345,200,389,96,0.0,0.0
11040670.0,3443,19451,0,0,3266,0,3,446,3390,559,1186,2912,81,419,3883,1189,747,443,310,116,501,1.17,3,3,0,0,0,0,0,0,0,0,4288,1079,113,756,210,1913,567,599,130,0.0,0.0
11040680.0,8635,64963,7,0,11795,14,41,2996,12421,1712,2670,9364,1478,2193,9001,6885,70,662,739,394,2521,1.03,15,15,1,0,0,0,0,0,1,1,2944,290,35,160,95,1912,57,589,96,0.0,0.0
11040690.0,967,2993,0,0,487,1,4,411,471,178,140,64,4,63,361,26,281,82,221,25,174,0.75,-,-,0,0,0,0,0,0,0,0,2331,898,100,704,94,793,68,547,25,0.0,0.0
11040700.0,2480,12372,2,0,861,257,369,430,2732,2380,601,154,470,297,1033,1313,47,219,486,106,615,2.31,2,2,1,0,0,1,0,0,0,1,2504,1472,103,1162,207,621,27,327,57,0.0,0.0
11050530.0,3048,15339,0,0,161,1,0,322,1603,304,3610,235,172,456,953,306,98,3386,2853,412,467,1.16,5,5,1,0,0,0,0,0,1,1,5296,1413,18,1127,268,1360,50,2315,158,1.0,0.0
11050540.0,2473,9677,0,0,443,0,0,273,1650,622,1020,255,275,234,944,728,25,2138,611,140,319,0.74,3,3,1,0,0,0,0,0,1,1,4556,1435,53,1145,237,779,268,1978,96,1.0,0.0
11050550.0,2149,6746,0,0,1104,0,2,768,1590,285,559,362,51,170,219,408,62,79,694,86,307,0.62,-,-,2,0,0,0,0,0,2,2,3613,1094,37,788,269,148,98,2159,114,0.0,0.0
11050560.0,2302,7793,0,0,646,0,0,878,1239,286,574,282,339,191,447,1338,62,311,731,99,370,0.55,4,4,0,0,0,0,0,0,0,0,4986,1188,38,876,274,300,100,3265,133,0.0,0.0
11050570.0,1745,5939,0,0,898,0,5,359,811,307,506,40,28,94,161,128,957,215,936,117,377,0.6,-,-,0,0,0,0,0,0,0,0,3870,1179,57,908,214,462,49,2058,122,0.0,0.0
11050580.0,1806,4601,0,0,647,2,23,208,798,331,523,53,85,96,114,129,86,612,499,99,296,2.32,2,2,1,0,0,0,0,0,1,1,7366,1508,94,1177,237,314,666,4746,132,0.0,0.0
11050590.0,1170,6045,0,0,246,0,51,287,1149,151,601,209,266,210,307,230,85,1265,358,450,180,1.1,-,-,0,0,0,0,0,0,0,0,2531,786,44,647,95,21,72,1620,32,0.0,0.0
11050630.0,2156,13694,1,0,213,2,14,3768,2152,127,1579,206,328,546,515,906,67,1562,467,916,325,2.39,7,7,1,0,0,0,0,0,1,1,10349,214,37,117,60,9068,481,538,48,1.0,0.0
11050640.0,2207,9860,0,0,396,2,30,1358,1317,199,788,183,161,302,647,830,1465,305,1362,125,390,0.57,4,4,0,0,0,0,0,0,0,0,5398,1205,36,893,276,784,182,3118,109,0.0,0.0
11050650.0,2141,5994,0,0,250,0,6,685,837,468,433,754,112,344,242,136,29,794,536,105,263,1.68,1,1,2,0,0,0,0,0,2,2,7066,848,14,601,233,2802,257,3075,84,0.0,0.0
11050660.0,1913,7087,0,0,149,1,0,534,1416,475,952,154,137,319,244,582,134,672,823,154,341,1.2,5,5,2,1,1,0,0,0,0,1,8582,402,23,301,78,7088,248,782,62,0.0,0.0
11050670.0,2150,6046,0,0,432,7,0,614,1049,204,1121,179,47,286,577,142,102,224,560,186,316,1.16,2,2,3,0,0,0,0,0,3,3,4613,1589,68,1278,243,1405,363,1139,117,0.0,0.0
11050600.0,2645,7370,2,0,333,0,5,467,1000,403,1079,275,168,280,489,689,621,402,698,135,324,0.56,3,3,0,0,0,0,0,0,0,0,5195,1070,27,793,250,264,180,3553,128,0.0,0.0
11050610.0,1930,5884,0,0,447,0,87,366,1108,486,625,121,199,187,397,88,27,481,912,102,251,1.39,1,1,1,0,0,0,0,0,1,1,7341,977,56,761,160,1355,714,4221,74,0.0,0.0
11050620.0,3490,17842,1,0,198,0,68,2988,2992,877,1048,1164,395,795,997,3653,26,932,850,250,608,1.02,4,4,5,1,0,0,0,0,4,4,9070,424,15,299,110,5985,326,2291,44,0.0,0.0
