ADM_CD,지가변동률_2022,지가변동률_2023,지가변동률_2024,지가_2022,지가_2023,지가_2024
11050550.0,4.843000000000001,7.658000000000001,8.242,96.977,99.342,100.133
11050560.0,4.843000000000001,7.658000000000001,8.242,96.977,99.342,100.133
11050570.0,4.843000000000001,7.658000000000001,8.242,96.977,99.342,100.133
11050580.0,4.843000000000001,7.658000000000001,8.242,96.977,99.342,100.133
11050590.0,4.231,6.453999999999999,6.773999999999999,97.782,99.603,100.107
11050600.0,5.349,7.909000000000001,8.388,97.36,99.458,100.115
11050610.0,5.349,7.909000000000001,8.388,97.36,99.458,100.115
11050620.0,5.349,7.909000000000001,8.388,97.36,99.458,100.115
11050630.0,3.409,4.612,4.73,98.883,99.837,100.045
11050640.0,5.987000000000001,9.372000000000002,10.542000000000002,95.934,98.788,100.218
11050650.0,5.987000000000001,9.372000000000002,10.542000000000002,95.934,98.788,100.218
