ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11120730,21854.0,4824.0,1687.0,316.0,1793.0,362.0,2096.0,573.0,1887.0,470.0,339.0,521.5,22.073762240322136,7.027363184079602,10.810530679933665
11130520,15648.0,2621.0,1371.0,218.0,1217.0,216.0,1481.0,222.0,1547.0,193.0,217.0,207.5,16.74974437627812,8.279282716520411,7.916825639069057
11110590,18831.0,1413.0,1860.0,54.0,1310.0,41.0,1361.0,117.0,1603.0,110.0,47.5,113.5,7.503584514895651,3.3616418966737434,8.032554847841473
11130680,24268.0,3858.0,2416.0,603.0,2115.0,516.0,1994.0,351.0,2000.0,314.0,559.5,332.5,15.89747816054063,14.502332814930016,8.618455158113012
11130690,4074.0,414.0,199.0,24.0,216.0,27.0,273.0,23.0,418.0,31.0,25.5,27.0,10.1620029455081,6.159420289855073,6.521739130434782
11140610,13379.0,2375.0,1297.0,371.0,1364.0,418.0,1391.0,252.0,1207.0,204.0,394.5,228.0,17.75170042604081,16.61052631578947,9.6
11140710,16030.0,4950.0,1411.0,682.0,2089.0,1063.0,2164.0,965.0,1666.0,688.0,872.5,826.5,30.87960074859638,17.626262626262626,16.696969696969695
11140720,17094.0,3737.0,1436.0,428.0,1664.0,540.0,2022.0,677.0,1857.0,564.0,484.0,620.5,21.861471861471863,12.951565426812953,16.604227990366603
11110720,17969.0,2119.0,1122.0,116.0,1287.0,127.0,3046.0,354.0,2603.0,267.0,121.5,310.5,11.79253158216929,5.733836715431807,14.653138272770175
11110760,28148.0,4428.0,2251.0,242.0,1946.0,202.0,2098.0,218.0,2225.0,193.0,222.0,205.5,15.731135427028564,5.013550135501355,4.6409214092140925
11150660,42174.0,4503.0,3337.0,176.0,3028.0,175.0,3876.0,389.0,4384.0,404.0,175.5,396.5,10.677194480011382,3.8974017321785475,8.80524095047746
