ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11100510.0,1406,4280,0,0,0,0,1.0,0.0,1.24
11100520.0,1674,5013,0,1,0,1,0.0,0.0,0.54
11100530.0,1332,5001,0,0,0,0,0.0,0.0,0.5
11100540.0,946,2147,0,0,0,0,0.0,0.0,0.52
11100550.0,2976,13765,0,1,1,0,0.0,0.0,0.69
11100560.0,1563,3052,0,0,0,0,0.0,0.0,0.74
11100570.0,1512,3522,0,1,0,1,0.0,0.0,2.62
11110510.0,1808,6469,0,0,0,0,1.0,0.0,1.16
11110520.0,1404,3867,0,0,0,0,0.0,1.0,1.94
11110530.0,1519,4702,0,1,0,1,0.0,0.0,1.17
11110790.0,3937,13843,0,1,0,1,0.0,0.0,1.41
11110560.0,2777,13128,0,0,0,0,3.0,1.0,6.82
11110580.0,1587,8800,0,1,0,1,0.0,0.0,1.55
11110590.0,792,1716,0,0,0,0,0.0,0.0,0.51
11110600.0,1699,5989,0,1,0,1,0.0,0.0,1.97
11110610.0,1469,4299,0,1,1,0,0.0,0.0,0.63
11110640.0,1454,4293,0,0,0,0,0.0,0.0,1.7
11110780.0,2047,5673,0,4,1,3,0.0,0.0,0.9
11110650.0,4050,10593,0,1,0,1,0.0,0.0,5.62
11110660.0,3346,10937,0,3,0,3,0.0,0.0,0.61
11110760.0,1967,4951,0,0,0,0,0.0,0.0,5.05
11110690.0,2719,6101,0,1,0,1,0.0,0.0,1.01
11110770.0,2784,16458,0,0,0,0,1.0,0.0,1.11
11110720.0,815,2077,0,0,0,0,0.0,0.0,0.67
11110730.0,1035,2761,0,0,0,0,0.0,0.0,0.81
11110740.0,809,2541,0,0,0,0,0.0,0.0,0.8
11120510.0,2838,13292,0,0,0,0,0.0,0.0,1.79
11120520.0,2393,7006,0,2,0,2,0.0,0.0,3.13
11120720.0,1875,4648,0,2,0,2,0.0,0.0,1.38
11120550.0,1765,4933,0,0,0,0,0.0,0.0,0.97
11120560.0,2311,6656,0,0,0,0,0.0,0.0,0.96
11120570.0,2077,6849,0,0,0,0,0.0,0.0,1.38
11120580.0,3364,7674,0,3,0,3,0.0,0.0,0.85
11120590.0,2690,8300,0,1,1,0,0.0,0.0,1.2
11120600.0,1400,2991,0,1,0,1,0.0,0.0,0.78
11120730.0,2410,5916,0,2,0,2,0.0,0.0,0.63
11120740.0,3612,8883,0,1,0,1,0.0,0.0,1.16
11120650.0,2002,5311,0,0,0,0,1.0,0.0,0.84
11120660.0,2220,4485,0,0,0,0,0.0,0.0,1.0
11120670.0,1401,4382,0,1,0,1,0.0,0.0,0.81
11120680.0,836,2734,0,2,1,1,0.0,0.0,1.29
11120710.0,3236,13637,0,1,0,1,0.0,0.0,11.53
11130520.0,1133,3379,0,0,0,0,1.0,0.0,0.97
11130740.0,1195,2724,0,0,0,0,0.0,0.0,0.46
11130730.0,2865,22803,0,0,0,0,2.0,0.0,1.12
11130750.0,5125,37272,0,3,0,3,2.0,0.0,2.63
11130760.0,3247,12995,0,1,0,1,0.0,0.0,3.05
11130620.0,1575,5949,0,0,0,0,0.0,1.0,1.23
11130640.0,1427,4036,0,1,0,1,0.0,0.0,0.81
11130650.0,803,2263,0,0,0,0,0.0,1.0,1.05
11130660.0,1475,2997,0,1,0,1,0.0,0.0,1.58
11130680.0,2046,6628,0,0,0,0,0.0,1.0,2.06
11130690.0,963,2783,0,2,0,2,0.0,0.0,0.51
11130700.0,2033,5877,0,1,0,1,1.0,0.0,0.77
11130710.0,1564,3803,0,0,0,0,0.0,0.0,0.55
11130720.0,2976,6099,0,0,0,0,0.0,0.0,0.84
11140780.0,2353,14050,0,0,0,0,0.0,0.0,0.76
11140770.0,3617,20120,0,3,1,2,0.0,0.0,1.01
11140750.0,3036,19024,0,0,0,0,0.0,1.0,0.62
11140590.0,3991,19926,0,0,0,0,0.0,0.0,0.84
11140600.0,1938,9609,0,0,0,0,1.0,0.0,0.87
11140610.0,1037,5052,0,0,0,0,0.0,0.0,0.44
11140630.0,2258,6949,0,1,0,1,0.0,0.0,0.78
11140760.0,2679,9684,0,1,0,1,1.0,0.0,1.45
11140660.0,12734,63225,0,6,1,5,0.0,0.0,1.65
11140680.0,3916,13670,0,1,0,1,0.0,0.0,1.72
11140690.0,3051,6853,0,0,0,0,0.0,0.0,1.13
