ADM_CD,지가변동률_2022,지가_2022
11190760.0,4.833333333333333,96.988
11200520.0,5.085999999999999,95.841
11200530.0,4.768,96.642
11200540.0,4.768,96.642
11200550.0,4.768,96.642
11200560.0,4.768,96.642
11200630.0,4.755000000000002,96.746
11200650.0,4.755000000000002,96.746
11200660.0,4.755000000000002,96.746
11200670.0,4.755000000000002,96.746
11200680.0,4.526,97.034
11200690.0,4.526,97.034
11200700.0,4.526,97.034
11200710.0,4.452999999999999,96.979
11200720.0,4.769499999999999,96.41
11200730.0,3.5580000000000007,97.6725
11210520.0,4.862,97.428
11210540.0,4.862,97.428
11210570.0,4.862,97.428
11210580.0,4.862,97.428
11210610.0,4.862,97.428
11210620.0,4.862,97.428
11210630.0,3.7639999999999993,97.428
11210640.0,5.261,97.209
11210650.0,5.261,97.209
11210660.0,5.261,97.209
11210680.0,5.261,97.209
11210690.0,5.261,97.209
11210710.0,5.261,97.209
11210720.0,5.261,97.209
11210730.0,5.261,97.209
11210780.0,4.862,97.428
11210790.0,4.862,97.428
11210800.0,4.862,97.428
11210810.0,5.261,97.209
11210820.0,5.261,97.209
11210830.0,5.261,97.209
11220510.0,6.267,95.027
11220520.0,6.267,95.027
11220530.0,6.2205,95.148
11220540.0,6.267,95.027
11220550.0,5.301,95.151
11220560.0,5.704999999999999,95.317
11220570.0,5.704999999999999,95.317
11220580.0,5.704999999999999,95.317
11220590.0,5.301,95.151
11220600.0,5.704999999999999,95.317
11220610.0,6.174,95.269
11220620.0,6.174,95.269
11220630.0,6.174,95.269
11220640.0,6.174,95.269
11220650.0,6.174,95.269
11220660.0,4.878,95.64
11220670.0,4.878,95.64
11220680.0,4.984,96.598
11230510.0,5.977500000000001,94.2535
11230511.0,5.510333333333333,95.98533333333334
11230520.0,6.058999999999999,93.814
11230530.0,6.058999999999999,93.814
11230580.0,6.622,93.641
11230590.0,6.622,93.641
11230600.0,6.005,95.318
11230630.0,6.005,95.318
11230640.0,6.214,92.677
11230650.0,6.214,92.677
11230660.0,5.534,95.906
11230670.0,5.534,95.906
11230680.0,5.377,95.857
11230710.0,5.377,95.857
11230720.0,5.149,96.781
11230730.0,5.149,96.781
11230750.0,5.149,96.781
11230760.0,4.952000000000001,96.82099999999998
11230770.0,5.977500000000001,94.2535
11230780.0,5.971,94.388
11230790.0,6.005,95.318
11230800.0,5.263,96.319
11240510.0,4.8870000000000005,98.091
11240520.0,4.8870000000000005,98.091
11240530.0,6.116,95.106
11240540.0,6.116,95.106
11240550.0,6.327000000000001,95.606
11240560.0,6.327000000000001,95.606
11240570.0,5.760999999999999,96.675
11240580.0,5.760999999999999,96.675
11240590.0,5.760999999999999,96.675
11240600.0,5.118,97.4
11240610.0,5.33,96.997
11240620.0,5.33,96.997
11240630.0,5.388,97.027
11240640.0,5.57,96.886
11240650.0,5.521,97.061
11240660.0,5.521,97.061
11240670.0,5.521,97.061
11240680.0,4.938,96.364
11240690.0,4.767,96.417
11240710.0,5.84,94.75
11240750.0,5.872,95.708
11240770.0,5.872,95.708
11240780.0,5.84,94.75
11240790.0,5.84,94.75
11240800.0,5.84,94.75
11240810.0,4.767,96.417
11240820.0,5.356,95.788
11250530.0,4.441000000000001,97.218
11250540.0,4.441000000000001,97.218
11250550.0,4.8500000000000005,96.972
11250560.0,4.8500000000000005,96.972
11250580.0,4.775,97.058
11250590.0,4.775,97.058
11250610.0,5.853,95.619
11250630.0,5.853,95.619
11250650.0,5.203000000000001,96.264
11250660.0,5.203000000000001,96.264
11250670.0,5.203000000000001,96.264
11250700.0,4.536,97.122
11250710.0,4.536,97.122
11250720.0,4.775,97.058
11250730.0,5.853,95.619
11250740.0,5.343,97.15
11250750.0,4.596,97.736
11250760.0,4.718999999999999,97.45
11250770.0,4.718999999999999,97.45
